368356720;;;;387858897;;;;429012775;;;;524239976;;;;572347436;;;;624983366;;;;765069497;;;;811680158;;;;1001772277;;;;1055863339;;;;1156192495;;;;1396983255;;;;1591611385;;;;1883215699;;;;1915576554;;;;2345265597;;;;2369152086;;;;2458169923;;;;2940950420;;;;2954674780;;;;2968055938;;;;2985598636;;;;3018699504;;;;3305530889;;;;3434360374;;;;3517889115;;;;3663829911;;;;3670574433;;;;3763186273;;;;3801127409;;;;3846775734;;;;3863942448;;;;4189930885;;;;4218485576;;;;4285755641;;;;
#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;0;1504.06;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;0;1506.47;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;0;1506.47;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;0;1496.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;0;1501.64;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;1504.06;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;1506.47;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;0;1506.47;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;0;1496.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;0;1501.64;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;1504.06;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;1506.47;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;0;1506.47;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;0;1496.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;0;1501.64;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;1504.06;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;1506.47;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;0;1506.47;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;0;1496.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;0;1501.64;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;1504.06;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;1506.47;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;0;1506.47;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;0;1496.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;0;1501.64;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;1504.06;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;1506.47;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;0;1506.47;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;0;1496.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;0;1501.64;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;3721.64;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;3568.19;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;1;4187.39;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;0;1496.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;0;1501.64;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;5818.66;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;5502.78;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;1;6476.17;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;1;6212.84;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;0;1501.64;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;4545.81;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;4469.33;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;1;5192.41;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;1;4859.36;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;1;604.42;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;4351.29;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;4235.57;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;0;1496.81;0;;1;4982.38;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;1;4614.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;1;531.777;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;4573.87;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;4364.02;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;1;2934.66;0;;1;5194.94;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;1;4823.57;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;1;516.21;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;0;1501.64;0;;0;1504.06;0;;1;4529.83;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;4203.44;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;1;3910.43;0;;1;5117.88;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;1;4721.81;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;1;420.85;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;1;1733.31;0;;0;1504.06;0;;1;3575.78;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;3336.08;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;1;3395.3;0;;1;4114.6;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;1;3826.74;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;1;342.783;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;1;1461.77;0;;0;1504.06;0;;1;2945.62;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;2722.46;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;1;2797.32;0;;1;3382.03;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;1;3133.62;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;1;333.169;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;0;1501.64;0;;0;1434.04;0;;
0;1496.81;0;;0;1508.88;0;;0;1499.23;0;;0;1499.23;0;;0;1245.73;0;;0;1506.47;0;;1;1433.71;0;;0;1504.06;0;;1;2739.27;0;;0;772.548;0;;0;1511.3;0;;0;1267.46;0;;1;2501.54;0;;0;1504.06;0;;0;1484.74;0;;0;1504.06;0;;1;2602.35;0;;1;3126.41;0;;0;1496.81;0;;0;1269.88;0;;0;1506.47;0;;1;2894.37;0;;0;1272.29;0;;0;1496.81;0;;0;1504.06;0;;1;335.014;0;;0;1496.81;0;;0;1496.81;0;;0;1506.47;0;;0;1506.47;0;;0;1499.23;0;;0;1501.64;0;;0;1506.47;0;;1;1968.89;0;;0;1434.04;0;;
