1704244;;;;9593809;;;;52724477;;;;115655674;;;;166151485;;;;180758829;;;;326872621;;;;327673433;;;;439871938;;;;471205317;;;;538482476;;;;634203116;;;;638819586;;;;911559840;;;;1209464999;;;;1210310432;;;;1213352332;;;;1227315874;;;;1235945540;;;;1249419928;;;;1282203419;;;;1516365480;;;;1646229295;;;;1655279136;;;;1776793949;;;;1818991454;;;;1858197947;;;;1902712765;;;;2026751243;;;;2042536497;;;;2155855298;;;;2160727688;;;;2161897382;;;;2210555651;;;;2234124788;;;;2562056097;;;;2612508843;;;;2625002338;;;;2721636842;;;;3077437275;;;;3259540570;;;;3360024327;;;;3365768336;;;;3408839111;;;;3457941314;;;;3529119742;;;;3564296426;;;;3660029120;;;;3864404584;;;;3880373395;;;;
#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;0;748.406;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;0;741.164;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;0;745.992;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;0;743.578;0;;0;742.371;0;;0;739.956;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;0;749.613;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;0;754.442;0;;0;725.471;0;;0;742.371;0;;0;747.199;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;0;748.406;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;0;741.164;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;745.992;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;743.578;0;;0;742.371;0;;0;739.956;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;0;749.613;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;0;754.442;0;;0;725.471;0;;0;742.371;0;;0;747.199;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;1004.46;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;0;741.164;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;913.895;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;539.831;0;;0;742.371;0;;0;739.956;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;0;749.613;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;0;754.442;0;;0;725.471;0;;0;742.371;0;;0;747.199;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;989.727;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;972.652;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;935.185;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;584.777;0;;0;742.371;0;;0;739.956;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;0;749.613;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;0;754.442;0;;0;725.471;0;;0;742.371;0;;0;747.199;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;1448.45;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1458.1;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;1394.62;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;933.363;0;;0;742.371;0;;0;739.956;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;1339.48;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;0;754.442;0;;0;725.471;0;;0;742.371;0;;0;747.199;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;2183.99;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;2189.61;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;2106.97;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;1138.03;0;;0;742.371;0;;0;739.956;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;1395.25;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;0;754.442;0;;0;725.471;0;;0;742.371;0;;0;747.199;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;3918.87;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;3189.27;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;3262.35;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;1543.91;0;;0;742.371;0;;0;739.956;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;1473.45;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;1;1325.71;0;;0;725.471;0;;0;742.371;0;;0;747.199;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;5073.31;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;4117.34;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;4337.45;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;2051.61;0;;0;742.371;0;;1;9649.59;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;1642.7;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;1;1644.42;0;;0;725.471;0;;0;742.371;0;;0;747.199;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;4878.97;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;4221.74;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;4269.09;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;2066.48;0;;0;742.371;0;;1;7853.96;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;1921.7;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;1;1913.85;0;;0;725.471;0;;0;742.371;0;;1;9152.04;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;4601.57;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;4177.23;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;4228.24;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;2119.87;0;;0;742.371;0;;1;6384.58;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;2326.61;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;0;745.992;0;;1;2322.4;0;;0;725.471;0;;0;742.371;0;;1;6735.15;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;3496.97;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;3093.17;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;3213.57;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;1528.43;0;;0;742.371;0;;1;5352;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;1689.14;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;1;3288.23;0;;1;1697.24;0;;0;725.471;0;;0;742.371;0;;1;5445.37;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;2313.13;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1853.4;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;2036.58;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;1325.57;0;;0;742.371;0;;1;2773.69;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;1177.31;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;0;736.335;0;;0;745.992;0;;1;2098.16;0;;1;1191;0;;1;1238.97;0;;0;742.371;0;;1;2663.58;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;1667.84;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1585.22;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;1530.44;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;1021.56;0;;0;742.371;0;;1;1740.49;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;1187.26;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;0;759.27;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1965.2;0;;0;745.992;0;;1;1602.18;0;;1;1185.08;0;;1;1142.02;0;;0;742.371;0;;1;1693.81;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;1008.27;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1000.03;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;959.221;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;689.936;0;;0;742.371;0;;1;959.907;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;954.98;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;1;859.569;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1225.43;0;;0;745.992;0;;1;985.925;0;;1;951.049;0;;1;837.579;0;;0;742.371;0;;1;962.243;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;1068.45;0;;0;755.649;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1059.21;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;1020.45;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;723.138;0;;0;742.371;0;;1;1026.01;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;982.086;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;1;904.808;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1277.27;0;;0;745.992;0;;1;1049.69;0;;1;977.103;0;;1;872.255;0;;0;742.371;0;;1;1012.41;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;0;741.164;0;;0;738.749;0;;1;1012.96;0;;1;937.847;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1009.67;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;970.524;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;689.853;0;;0;742.371;0;;1;966.296;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;954.362;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;1;863.006;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1218.53;0;;0;745.992;0;;1;999.577;0;;1;952.202;0;;1;844.241;0;;0;742.371;0;;1;962.93;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;1;940.885;0;;0;738.749;0;;1;1019.28;0;;1;999.349;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1007.54;0;;0;726.678;0;;0;755.649;0;;0;651.838;0;;1;973.177;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;698.647;0;;0;742.371;0;;1;970.283;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;951.179;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;1;865.725;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1228.81;0;;0;745.992;0;;1;1001.68;0;;1;951.484;0;;1;844.118;0;;0;742.371;0;;1;966.539;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;1;974.435;0;;0;738.749;0;;1;1035.54;0;;1;1016.15;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1028.75;0;;0;726.678;0;;1;909.679;0;;0;651.838;0;;1;986.668;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;0;744.785;0;;1;716.361;0;;0;742.371;0;;1;990.903;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;958.062;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;1;869.458;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1240.08;0;;0;745.992;0;;1;1018.23;0;;1;957.771;0;;1;847.64;0;;0;742.371;0;;1;978.695;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;1;1032.5;0;;0;738.749;0;;1;1089.03;0;;1;1058.9;0;;0;726.678;0;;0;748.406;0;;0;755.649;0;;0;725.471;0;;1;1077.21;0;;0;726.678;0;;1;964.54;0;;0;651.838;0;;1;1024.74;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;1;1073.65;0;;1;745.183;0;;0;742.371;0;;1;1057.54;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;936.542;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;1;887.759;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1285.13;0;;0;745.992;0;;1;1065.72;0;;1;935.792;0;;1;848.292;0;;0;742.371;0;;1;1033.42;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;1;1152;0;;0;738.749;0;;1;1192.89;0;;1;1172.98;0;;0;726.678;0;;0;748.406;0;;1;936.357;0;;0;725.471;0;;1;1147.84;0;;0;726.678;0;;1;1054.9;0;;0;651.838;0;;1;1130.82;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;1;1175.94;0;;1;813.535;0;;0;742.371;0;;1;1181.77;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;998.519;0;;0;737.542;0;;0;771.341;0;;0;756.856;0;;1;965.003;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1413.98;0;;0;745.992;0;;1;1165.72;0;;1;994.57;0;;1;923.411;0;;0;742.371;0;;1;1152.58;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;1;1212.8;0;;0;738.749;0;;1;1275.74;0;;1;1265.2;0;;0;726.678;0;;0;748.406;0;;1;1029.38;0;;0;725.471;0;;1;1204.55;0;;0;726.678;0;;1;1123.21;0;;0;651.838;0;;1;1192.53;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;1;1249.24;0;;1;888.712;0;;0;742.371;0;;1;1312.68;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;950.731;0;;1;975.241;0;;0;771.341;0;;0;756.856;0;;1;975.655;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1518.73;0;;0;745.992;0;;1;1233.88;0;;1;946.355;0;;1;895.457;0;;0;742.371;0;;1;1281.64;0;;0;753.235;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
0;741.164;0;;1;954.616;0;;0;738.749;0;;1;987.508;0;;1;1003.76;0;;0;726.678;0;;0;748.406;0;;1;773.474;0;;0;725.471;0;;1;975.677;0;;0;726.678;0;;1;866.806;0;;0;651.838;0;;1;931.275;0;;0;755.649;0;;0;747.199;0;;0;762.891;0;;1;999.984;0;;1;681.782;0;;0;742.371;0;;1;958.921;0;;0;760.477;0;;0;739.956;0;;0;745.992;0;;0;744.785;0;;0;744.785;0;;0;747.199;0;;1;912.096;0;;1;761.885;0;;0;771.341;0;;0;756.856;0;;1;821.954;0;;0;620.453;0;;0;752.028;0;;0;737.542;0;;1;1211.88;0;;0;745.992;0;;1;969.205;0;;1;908.276;0;;1;800.374;0;;0;742.371;0;;1;941.434;0;;1;536.298;0;;0;744.785;0;;0;737.542;0;;0;742.371;0;;0;758.063;0;;0;745.992;0;;0;747.199;0;;0;743.578;0;;
