37695046;;;;116679567;;;;159105155;;;;371309470;;;;430660491;;;;435285905;;;;448272430;;;;470420047;;;;522733929;;;;604339201;;;;742506468;;;;886880444;;;;911495027;;;;1207376715;;;;1542534578;;;;1697486432;;;;1727552671;;;;1753665364;;;;1766948163;;;;1808223335;;;;1858553678;;;;2013004078;;;;2039415011;;;;2067041420;;;;2193084743;;;;2205307451;;;;2577696665;;;;2601856799;;;;2718816518;;;;2741203268;;;;2840588002;;;;2948292157;;;;3083589007;;;;3159490980;;;;3224530472;;;;3398999051;;;;3407079393;;;;3512535442;;;;3653308632;;;;3728188947;;;;3765118519;;;;3786730726;;;;3796975790;;;;3842771049;;;;3907300384;;;;3917984150;;;;3925378185;;;;4113400539;;;;4177852124;;;;4249208682;;;;
#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;0;1496.81;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;0;1508.88;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;0;1482.33;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;0;1525.78;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;0;1506.47;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;0;1491.98;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;0;1479.91;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;0;1499.23;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;0;1496.81;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;0;1508.88;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;0;1482.33;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1525.78;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1506.47;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;0;1491.98;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;0;1479.91;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;0;1499.23;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;0;1496.81;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;0;1508.88;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;1;2329.69;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1319.97;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1086.7;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;0;1491.98;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;0;1479.91;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;0;1499.23;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;0;1496.81;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;0;1508.88;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;1;1914.57;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1251.25;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1013.58;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;0;1491.98;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;0;1479.91;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;1;1790.62;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;0;1496.81;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;1;1895.22;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;1;2019.75;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1308.03;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1055.9;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;0;1491.98;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;0;1479.91;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;1;1895.43;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;1;2130.34;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;1;2105.5;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;1;2237.59;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1542.44;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1112.68;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;0;1491.98;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;0;1479.91;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;1;2103.65;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;1;2130.18;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;1;2119.2;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;1;2231.85;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1529.13;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1100.73;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;1;2048.88;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;0;1479.91;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;1;2104.3;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;1;2133.68;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;1;2112.18;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;1;2230.47;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1611.78;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1128.96;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;1;2059.57;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;0;1479.91;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;1;2102.97;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;1;2127.11;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;1;2087.76;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;1;2222.04;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1575.83;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1109.63;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;1;2058.12;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;1;2028.58;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;1;2081.31;0;;0;1511.3;0;;
0;1518.54;0;;0;1494.4;0;;0;1489.57;0;;0;1472.67;0;;0;1475.08;0;;1;2132.26;0;;0;1491.98;0;;0;1525.78;0;;0;1489.57;0;;0;1504.06;0;;1;2086.6;0;;0;1491.98;0;;0;1240.91;0;;0;1484.74;0;;0;1516.13;0;;1;2228.74;0;;0;1542.68;0;;0;1477.5;0;;0;1475.08;0;;0;1511.3;0;;0;1450.94;0;;1;1596.55;0;;0;1482.33;0;;0;1482.33;0;;0;1484.74;0;;0;1450.94;0;;0;1511.3;0;;0;1494.4;0;;0;1496.81;0;;0;1453.36;0;;0;1484.74;0;;0;1453.36;0;;1;1112.39;0;;0;1489.57;0;;0;1494.4;0;;0;1479.91;0;;0;1494.4;0;;0;1487.16;0;;0;1491.98;0;;1;2055.49;0;;0;1475.08;0;;0;1491.98;0;;0;1489.57;0;;0;1303.68;0;;1;2038.72;0;;0;1513.71;0;;0;1511.3;0;;0;1520.95;0;;1;2083.55;0;;0;1511.3;0;;
