477584365;;;;590327050;;;;780578181;;;;849595561;;;;852242067;;;;889587231;;;;909301905;;;;1026622334;;;;1107020014;;;;1132588472;;;;1171060558;;;;1233789535;;;;1356032912;;;;1475380697;;;;1508140515;;;;1743176921;;;;1930473933;;;;2033904606;;;;2047881332;;;;2120006094;;;;2297179310;;;;2301927263;;;;3043670120;;;;3130644750;;;;3257423356;;;;3314032339;;;;3394226721;;;;3623113991;;;;3630725801;;;;3662215154;;;;3859982937;;;;3888391542;;;;4080231813;;;;4125928694;;;;4134869791;;;;
#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;
0;754.442;0;;1;1307.17;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;1;966.549;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1513.92;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;1666.99;0;;0;753.235;0;;1;1372.31;0;;0;772.548;0;;2;1261.26;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;1361.49;0;;1;1249.32;0;;0;753.235;0;;0;633.731;0;;1;1343.22;0;;
0;754.442;0;;1;1583.44;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;1;1113.69;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1866.61;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;2233.34;0;;0;753.235;0;;1;1674.74;0;;0;772.548;0;;2;1535.67;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;1679.55;0;;1;1562.95;0;;0;753.235;0;;1;1781.62;0;;1;1661.49;0;;
0;754.442;0;;1;1586.15;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;0;634.938;0;;0;636.145;0;;0;717.021;0;;1;1100.18;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1875.16;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;2474.01;0;;0;753.235;0;;1;1675.32;0;;0;772.548;0;;2;1534.46;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;1682.53;0;;1;1527.97;0;;0;753.235;0;;1;1753.64;0;;1;1655.21;0;;
0;754.442;0;;1;1853.02;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;1;2041.22;0;;0;636.145;0;;0;717.021;0;;1;1232.35;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;2203.67;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;3009.18;0;;0;753.235;0;;1;1956.3;0;;0;772.548;0;;2;1782.61;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;1952.01;0;;1;1807.18;0;;0;753.235;0;;1;2329.35;0;;1;1919.74;0;;
0;754.442;0;;1;1805.88;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;1;1878.58;0;;0;636.145;0;;0;717.021;0;;1;1193.55;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;2139.92;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;2949.1;0;;0;753.235;0;;1;1902.74;0;;0;772.548;0;;2;1735.13;0;;0;622.867;0;;0;753.235;0;;0;752.028;0;;1;1902.27;0;;1;1754.03;0;;0;753.235;0;;1;2295.7;0;;1;1868.26;0;;
0;754.442;0;;1;1516.94;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;1;2162.97;0;;0;636.145;0;;0;717.021;0;;1;1082.66;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1782.9;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;2256.87;0;;0;753.235;0;;1;1632.06;0;;0;772.548;0;;2;1503.68;0;;0;622.867;0;;1;1177.13;0;;0;752.028;0;;1;1613.05;0;;1;1529.95;0;;0;753.235;0;;1;2265.66;0;;1;1616.91;0;;
0;754.442;0;;1;1409.76;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;1;2242.17;0;;0;636.145;0;;0;717.021;0;;1;1039.24;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1647.76;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;2252.32;0;;0;753.235;0;;1;1512.39;0;;0;772.548;0;;2;1393.69;0;;0;622.867;0;;1;1191.3;0;;0;752.028;0;;1;1501.57;0;;1;1412.47;0;;0;753.235;0;;1;2202.53;0;;1;1496.4;0;;
0;754.442;0;;1;1250.4;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;1;2027.38;0;;0;636.145;0;;0;717.021;0;;1;941.792;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1441.83;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;1636.41;0;;0;753.235;0;;1;1322.8;0;;0;772.548;0;;2;1211;0;;0;622.867;0;;1;1057.94;0;;1;981.829;0;;1;1320.48;0;;1;1227.86;0;;0;753.235;0;;1;2551.13;0;;1;1300.94;0;;
0;754.442;0;;1;1220.01;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;1;1990.99;0;;0;636.145;0;;0;717.021;0;;1;913.389;0;;0;749.613;0;;0;748.406;0;;0;752.028;0;;1;1402.88;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;1757.12;0;;0;753.235;0;;1;1314.35;0;;0;772.548;0;;2;1180.52;0;;0;622.867;0;;1;1066.05;0;;1;1044;0;;1;1289.42;0;;1;1196.18;0;;0;753.235;0;;1;2031.89;0;;1;1266.09;0;;
0;754.442;0;;1;1153.93;0;;0;750.82;0;;0;753.235;0;;0;752.028;0;;0;752.028;0;;0;755.649;0;;0;748.406;0;;1;1956.42;0;;0;636.145;0;;0;717.021;0;;1;869.926;0;;0;749.613;0;;1;1365.03;0;;0;752.028;0;;1;1325.69;0;;0;753.235;0;;0;742.371;0;;0;749.613;0;;0;753.235;0;;0;752.028;0;;0;748.406;0;;1;1524.05;0;;0;753.235;0;;1;1206.04;0;;0;772.548;0;;2;1131.27;0;;0;622.867;0;;1;1020.61;0;;1;1109.58;0;;1;1227.16;0;;1;1145.84;0;;0;753.235;0;;1;1823.21;0;;1;1212.04;0;;
